domain_composition,score,Assay Name,Donor Name,Experimental Timepoint,T Cell Type,K562 Condition,Sorted Cell Group,Read Count
TACI,0.387643680943921,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,23059
TACI,0.423802035073558,CTV3,d2,24d,CD8,neg,prolif2_d2_24d_CTV3_CD8_neg,44065
TACI,0.293157378526112,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,18088
TIGIT,0.0294307885533356,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,85494
TIGIT,0.196427383890514,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,127326
TIGIT,0.0,baseline,d1,0h,CD4,,prolif2_d1_0h_baseline_CD4_NA,83703
TIGIT,-0.283744792959629,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,15897
TIGIT,-0.176821673479091,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,22272
TIGIT,0.0294307885533356,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,87375
TIGIT,0.196427383890514,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,67737
TIGIT,0.0132695486726883,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,44291
TIGIT,-0.283744792959629,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,53002
TIGIT,0.241179405270786,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,120872
TIGIT,-0.176821673479091,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,45012
TIGIT,0.0294307885533356,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,123785
TIGIT,0.196427383890514,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,71444
TIGIT,0.0132695486726883,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,44508
TIGIT,-0.283744792959629,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,75664
TIGIT,0.241179405270786,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,39873
TIGIT,-0.176821673479091,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,62099
TIGIT,0.0294307885533356,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,55857
TIGIT,0.196427383890514,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,75619
